Country_Name,Deaths,Confirmed
US,101,12244
US,13,336
US,6,275
US,76,4467
US,28,1362
US,81,7297
US,90,7020
US,55,3724
US,54,4681
US,22,461
US,10,318
US,27,1202
US,16,825
US,2,150
US,14,958
US,1,269
US,19,895
US,80,4863
US,8,530
US,10,228
US,19,1936
US,47,2544
US,8,391
US,912,76717
US,12,722
US,20,1106
US,4,345
US,59,3467
US,7,164
US,121,10181
US,5,339
US,15,1569
US,8,401
US,91,5365
US,27,1549
US,28,1425
US,93,4327
US,14,661
US,59,4262
US,17,752
US,107,5307
US,23,755
US,9,337
US,56,1874
US,49,2501
US,17,484
US,30,1382
US,34,1944
US,14,399
US,14,700
US,0,0
US,15,1430
US,26,836
US,41,2746
US,26,1183
US,7,405
US,163,11025
US,14,868
US,15,1423
US,59,7920
US,11,772
US,15,498
US,33,1074
US,174,8189
US,27,737
US,955,79517
US,46,4559
US,445,25162
US,14,487
US,13,771
US,3,381
US,16,559
US,6,271
US,12,729
US,60,3156
US,22,1340
US,8,478
US,0,0
US,18,892
US,4,229
US,15,771
US,6,270
US,33,1473
US,9,390
US,358,27678
US,70,3114
US,63,3730
US,40,3292
US,19,657
US,133,7814
US,29,1554
US,90,5736
US,181,19761
US,32,3099
